50 50
0 3
0 3
0 3
1.11662 3
0 3
0 3
0 3
1.18586 3
0 3
1.29812 3
0 3
0 3
1.29888 3
1.20057 3
0 3
0 2
0 2
0 2
0 2
1.24939 2
1.22969 2
1.23573 2
1.07107 2
0 2
0 2
0 2
0 2
1.13728 2
0 2
0 2
0 2
0 2
0 2
0 2
1.27266 2
0 2
0 2
1.22184 2
0 2
0 2
1.00425 2
0 2
1.10947 2
0 2
0 2
0 2
0 2
0 2
1.19502 0
0 0
0 3
0 3
0 3
0 3
0 3
0 3
0 3
0 3
1.18303 3
0 3
1.2774 3
0 3
0 3
0 3
0 3
1.1364 2
1.04359 2
1.29889 2
0 2
0 2
0 2
0 2
1.04817 2
1.2055 2
0 2
0 2
1.13432 2
0 2
0 2
0 2
1.29481 2
0 2
1.14582 2
1.06866 2
1.06797 2
0 2
0 2
1.24479 2
1.20592 2
0 2
0 2
0 2
0 2
0 2
0 2
0 2
0 2
0 2
0 0
1.15501 0
0 3
1.00069 3
0 3
0 3
0 3
1.15264 3
1.29168 3
0 3
0 3
0 3
0 3
0 3
0 3
1.09869 3
0 3
0 2
0 2
1.1624 2
0 2
0 2
0 2
0 2
0 2
0 2
0 2
0 2
0 2
0 2
0 2
1.18261 2
0 2
0 2
1.15244 2
0 2
1.08945 2
0 2
1.12546 2
1.28784 2
0 2
0 2
0 2
0 2
0 2
0 2
0 2
1.19706 2
1.20741 2
0 2
0 0
1.00474 0
0 3
0 3
1.07216 3
0 3
1.15744 3
0 3
1.0523 3
0 3
1.16263 3
0 3
0 3
0 3
1.12948 3
1.1949 3
1.21499 3
0 3
1.06113 2
0 2
0 2
0 2
0 2
0 2
1.28966 2
1.22755 2
1.28063 2
1.1551 2
0 2
0 2
0 2
0 2
0 2
1.15063 2
1.27221 2
0 2
0 2
1.05524 2
0 2
1.17954 2
0 2
0 2
0 2
0 2
0 2
1.11029 2
0 2
0 2
0 2
0 2
0 0
0 0
0 3
1.09352 3
1.10796 3
0 3
0 3
1.20164 3
0 3
0 3
0 3
0 3
0 3
0 3
1.08824 3
0 3
0 3
0 3
0 3
0 3
0 3
0 2
1.13457 2
0 2
1.19023 2
0 2
0 2
0 2
1.13615 2
0 2
0 2
1.05731 2
0 2
0 2
1.01144 2
0 2
1.17703 2
0 2
0 2
0 2
1.09802 2
0 2
0 2
1.05716 2
0 2
0 2
1.21991 2
1.19022 2
1.13627 2
0 2
1.21926 0
0 0
0 3
0 3
0 3
0 3
1.08136 3
1.23149 3
1.18551 3
0 3
0 3
1.03978 3
1.18982 3
0 3
1.03965 3
0 3
0 3
1.19073 3
0 3
0 3
1.15292 3
0 2
0 2
1.23687 2
1.0274 2
0 2
0 2
1.14364 2
0 2
0 2
0 2
0 2
1.05419 2
1.01272 2
0 2
0 2
1.23414 2
1.07906 2
1.24385 2
0 2
0 2
0 2
0 2
1.04052 2
0 2
0 2
0 2
1.12483 2
0 2
0 2
1.00955 0
0 0
1.08163 3
0 3
0 3
